Means,AbsMeans,Sigma,AbsSigma
-0.000472576186749463,0.002040938809657246,0.0034641999566313135,0.002838763527848335
0.00034218898812686456,0.0020632427381755726,0.003589787066969238,0.0029574810046965046
-0.00043087698356946677,0.003890343945931449,0.006636307444637985,0.005393649548967937
-0.0009754102174709394,0.0031647369143516287,0.004183705940239414,0.0029050405762538665
0.0006707697517346463,0.3366345042092211,0.3503867734121872,0.0972036598594682
0.001021142607843963,0.06935406708318642,0.07569799316092327,0.030351973244545593
-2.3118622404957344e-05,0.0029279650961717037,0.004785996877792173,0.0037859372657954283
0.00028928280159454603,0.003320146098003014,0.0051324028824866474,0.003924522107896832
-0.00029654759987992165,0.0026415569709903634,0.0038864659012683707,0.0028661358044810995
-0.00017646548744070062,0.004383503363810121,0.008343499524635102,0.007101409905456044
0.00046334755406479466,0.0044891300006719035,0.005594358878162885,0.0033703492475714177
0.00016479338700874847,0.004938740187403038,0.007403038768631574,0.005517334975474488
0.00044523702945261875,0.009421679995049172,0.010906741807033984,0.0055124585194438434
0.0002622403771550799,0.005513950699679756,0.007592728427551875,0.005226341231824225
0.000241066764974653,0.004936876796148784,0.008740676443090704,0.0072169789640557916
-0.0008679243918663386,0.006942120059532283,0.018376390959299774,0.01703678392532084
-0.0002629627081324954,0.005326609861855678,0.011557410248228105,0.010260122241537776
0.0007213116885363531,0.002986072650940831,0.005482269986893037,0.004653917154882599
0.00022568156137251725,0.00791418581915348,0.01648268576865203,0.014460135723262685
-0.00029251232360188865,0.0031384167817174397,0.005251082195539803,0.004220162057078904
0.0006307888363818536,0.012290528510645507,0.028053907003509293,0.025226226464666917
7.647980623705348e-05,0.01102244929981612,0.018840670139259528,0.015280128006339832
-0.0005567052916133678,0.019396484592729673,0.03932414950965218,0.03421220602187453
0.0007409112069401602,0.009120485200517258,0.01956119933334333,0.017320687586886006
-0.00042971065868225347,0.006554095784607929,0.011974125112970576,0.01003036150482336
0.0008411415049749682,0.0401053244020563,0.06595622630719292,0.052368829109718164
0.0001712318634682652,0.004509812395235222,0.009415722979186922,0.008267209428316071
-0.0003771447802398888,0.01838391398823733,0.022577965079025417,0.013112530334304096
-0.0014844296519138597,0.06852759228021853,0.08685777829783901,0.05338957087769271
0.00013160464300736245,0.01712445468253675,0.0320316355476441,0.02707020589993551
-0.0006991919982439957,0.013836172534457507,0.01948434400271556,0.013736406380974968
0.0002257169180668263,0.016852519858502765,0.03019489666580605,0.025055444661880925
-0.00031388820254916246,0.01100989437904663,0.016792936498640637,0.012683984697771978
0.0004252849762851557,0.01536510792670225,0.019372866763803176,0.011806874792251978
-0.0012316367132822067,0.02042912590962907,0.02932135409543493,0.02106916110223436
4.952342939402145e-05,0.02231411692938168,0.029667758550209422,0.01955143308367611
0.0007977344067279722,0.006350374729689667,0.010523580344081667,0.008429404737852997
0.0005439764560956449,0.004096228367195671,0.006970003143126904,0.005665489154853872
0.0007501994990527631,0.004611538443143654,0.0067241915922162466,0.004950885278878809
0.0004238674869658537,0.010578584723286643,0.013349853221250582,0.00815424980778047
0.00010104112940667666,0.007899982107814429,0.01226141643087595,0.009377783581283926
-0.0003455540021050951,0.0029990923314036203,0.004127538263591125,0.0028568207632778905
-0.0006986235396093447,0.003530229082101758,0.005021538548991286,0.0036388743969783814
0.0006274993709651936,0.008722163838152474,0.018882279312531572,0.016758821124334636
-0.0003248661226570409,0.005889489579178581,0.009438262895255175,0.007382428934595151
-0.0001935417077307633,0.003317642201687397,0.006064924504404613,0.0050807497338819655
-5.2145558411148745e-05,0.0028153232225843513,0.00399653370928785,0.002837068205227602
-0.0010191246445268628,0.015977927361765995,0.02188160580170097,0.014984963287383959
-0.000893037156480619,0.0030396714779383598,0.00530754093930486,0.004441610461472295
0.0010339787486828306,0.03883079503238102,0.04264225763201455,0.017652212472124923
